Kernel,Method,Latency,Throughput,Area,Power,Utilization
FIR,SpatialArray,912,125.47,1.53,190.0,98.2 
FIR,HLS_Specialized,1158,226.38,0.76,105.6,100.0
MatVec,SpatialArray,2066,63.44,1.53,95.7,49.5
MatVec,HLS_Specialized,2144,61.13,0.463765,108.0,100.0
MatMat,SpatialArray,4119,127.28,1.53,192.0,99.44
MatMat,HLS_Specialized,16466,31.84,0.405397,108.0,100.0
VectorMagSq,SpatialArray,255,32.13,1.53,48.6,25.0
VectorMagSq,HLS_Specialized,263,31.15,0.114090,28.2,100.0
OuterProduct,SpatialArray,65572,127.93,1.53,193.0,99.94
OuterProduct,HLS_Specialized,131264,63.91,0.329577,74.7,100.0
